"InvImages","InvRefIDPrefix","InvRefID","InvRefIDSuffix","InvCreationDate","ArtworkStatus::Status","InvTitle","InvPrice","GalleryLocationfor Inventory::GalName","InvHeight","InvWidth","InvDepth","Medium::MedMedium"
"size:1940,1557
image:Art Tracker Paintings/Ferry From Bowen - acrylic on canvas 16 x 20.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Ferry From Bowen - acrylic on canvas 16 x 20.jpg",,"29",,2012-02-16,"Available","Ferry from Bowen",900,"Vancouver home",16,20,,"Acrylic"
"size:2040,1584
image:Art Tracker Paintings/Fishboats - oil on canvas 11 x 14 Framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Fishboats - oil on canvas 11 x 14 Framed.jpg",,"19",,2012-02-16,"Available","Fishboats",600,"SOLD",11,14,,"Oil on canvas"
"size:611,450
image:Art Tracker Paintings/Fishing Boats - oil on canvas 18 x 24.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Fishing Boats - oil on canvas 18 x 24.jpg",,"65",,2012-03-13,,"Fishing Boats",1000,,18,24,,"Oil on canvas"
"size:692,450
image:Art Tracker Paintings/Flash - oil on canvas 24 x 36.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Flash - oil on canvas 24 x 36.jpg",,"63",,2012-03-13,"Available","Flash",1550,,24,36,,"Oil on canvas"
"size:2144,1076
image:Art Tracker Paintings/Foothills and Bales - oil on canvas 18 x 36 Framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Foothills and Bales - oil on canvas 18 x 36 Framed.jpg",,"104",,2012-03-15,,"Foothills And Bales",1550,,18,36,,"Acrylic"
"size:240,159
image:Art Tracker Paintings/Forest.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Forest.jpg",,"73",,2012-03-13,,"Forest",400,,7,10,,"Watercolor"
"size:3260,2728
image:Art Tracker Paintings/Fraser Logbooms - oil on panel 10 x 12 framed.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Fraser Logbooms - oil on panel 10 x 12 framed.jpg",,"15",,2012-02-16,"Available","Fraser Log Booms",400,"Vancouver home",8,10,,"Oil on canvas"
"size:2433,1528
image:Art Tracker Paintings/Fraser River near Kerr.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Fraser River near Kerr.jpg",,"28",,2012-02-16,,"Fraser River Near Kerr",2350,"GaleriaLaManzanilla",30,48,,"Oil on canvas"
"size:359,491
image:Art Tracker Paintings/Garden Abstract  -watercolour 20 x 16 inches Framed .jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Garden Abstract  -watercolour 20 x 16 inches Framed .jpg",,"53",,2012-02-28,"Available","Garden Abstract",725,"Mexico Studio",20,16,,"Watercolor"
"size:698,346
image:Art Tracker Paintings/Gibsons Harbor.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Gibsons Harbor.jpg",,"125",,2012-03-15,,"Gibsons Harbor",800,,12,24,,"Acrylic"
